               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11504,            0.031067,            0.036515,          0.00012821,           0.0089069,          7.6163e-05,          2.2012e-05,             0.10459,            0.024516,            0.036287,            0.070341,           0.0032955,           0.0032955
                   1,             0.10816,            0.036454,            0.032585,          0.00029398,            0.031255,          0.00017261,          3.8672e-05,             0.11863,            0.019377,            0.041164,            0.040275,           0.0065632,           0.0065632
                   2,             0.10415,            0.036809,            0.028599,             0.33776,            0.005668,           0.0011727,          0.00031741,             0.12101,            0.066477,            0.065656,            0.010144,           0.0097649,           0.0097649
                   3,            0.094482,            0.032803,            0.024487,             0.70176,            0.064777,            0.026741,           0.0065385,            0.093234,             0.02666,            0.038901,            0.009703,            0.009703,            0.009703
                   4,            0.084091,            0.032106,            0.022735,             0.74579,            0.089609,            0.050379,            0.013715,            0.093055,            0.024397,            0.028401,            0.009703,            0.009703,            0.009703
                   5,            0.079206,            0.029457,            0.020647,            0.063087,            0.064238,            0.049274,            0.015196,            0.092064,             0.01655,             0.03306,            0.009604,            0.009604,            0.009604
                   6,             0.07435,            0.029165,            0.018362,             0.20476,             0.30384,             0.14962,             0.04182,            0.067675,            0.018347,            0.024553,            0.009505,            0.009505,            0.009505
                   7,            0.071671,            0.027256,            0.017149,             0.20969,             0.14686,             0.11075,            0.033248,             0.09136,            0.018358,            0.024469,            0.009406,            0.009406,            0.009406
                   8,            0.069715,            0.026239,            0.014925,             0.18409,            0.050754,            0.041136,            0.012343,             0.10013,             0.02095,            0.031901,            0.009307,            0.009307,            0.009307
                   9,            0.067937,            0.025835,            0.014266,             0.35448,             0.43454,             0.35742,             0.12476,            0.060625,            0.016153,            0.015778,            0.009208,            0.009208,            0.009208
                  10,            0.066397,            0.024955,            0.012747,             0.37561,               0.444,             0.31929,             0.10606,            0.062108,            0.017073,            0.015209,            0.009109,            0.009109,            0.009109
                  11,            0.064205,            0.023648,            0.011771,              0.3551,             0.42204,             0.32442,             0.10444,            0.060361,            0.015278,            0.015557,             0.00901,             0.00901,             0.00901
                  12,             0.06353,            0.024059,            0.012278,             0.42037,             0.44921,             0.36805,             0.13619,            0.060803,            0.016204,            0.014945,            0.008911,            0.008911,            0.008911
                  13,            0.062318,            0.023135,            0.012159,             0.46074,             0.50338,             0.46065,              0.1779,            0.054156,            0.016433,            0.015219,            0.008812,            0.008812,            0.008812
                  14,            0.061003,            0.023554,            0.011284,             0.43786,             0.54711,             0.49727,             0.19208,            0.055269,            0.014991,            0.014523,            0.008713,            0.008713,            0.008713
                  15,            0.060265,            0.023309,            0.011735,             0.59214,             0.49428,             0.52423,             0.19781,            0.053792,            0.015341,            0.014643,            0.008614,            0.008614,            0.008614
                  16,            0.059047,            0.022925,            0.011538,             0.48035,             0.53687,             0.49256,             0.19453,            0.055297,            0.014374,            0.013289,            0.008515,            0.008515,            0.008515
                  17,            0.057831,            0.023534,           0.0098807,             0.56783,             0.53193,             0.52599,             0.20333,            0.055059,            0.014491,            0.011501,            0.008416,            0.008416,            0.008416
                  18,            0.059074,            0.022748,            0.010363,              0.5573,             0.48849,             0.47542,             0.17732,             0.05676,            0.015155,            0.015186,            0.008317,            0.008317,            0.008317
                  19,              0.0572,            0.023187,           0.0087769,             0.63174,              0.5748,              0.6044,             0.24928,            0.053976,            0.013767,           0.0093136,            0.008218,            0.008218,            0.008218
                  20,            0.056365,            0.021907,           0.0094579,             0.68035,             0.53569,             0.57512,             0.23572,            0.052944,            0.014988,           0.0097156,            0.008119,            0.008119,            0.008119
                  21,            0.055655,            0.023151,           0.0072388,             0.49708,             0.29077,             0.33678,             0.11962,            0.069338,            0.019721,            0.014636,             0.00802,             0.00802,             0.00802
                  22,              0.0568,            0.022517,           0.0077406,               0.664,              0.4945,             0.58444,             0.23308,              0.0541,            0.014026,           0.0080575,            0.007921,            0.007921,            0.007921
                  23,            0.055019,            0.021639,           0.0077726,             0.64183,             0.58443,             0.63858,             0.28313,            0.051641,            0.016202,            0.007679,            0.007822,            0.007822,            0.007822
                  24,            0.054445,            0.021719,           0.0074167,             0.67907,              0.6407,             0.69954,             0.28283,            0.051579,            0.014187,           0.0063249,            0.007723,            0.007723,            0.007723
                  25,            0.055066,            0.022389,           0.0069836,             0.72969,             0.67731,             0.74258,             0.31956,            0.049132,            0.013923,           0.0055241,            0.007624,            0.007624,            0.007624
                  26,             0.05375,            0.020977,           0.0073459,              0.5364,             0.47025,             0.47047,             0.17959,            0.057146,            0.017246,            0.015716,            0.007525,            0.007525,            0.007525
                  27,             0.05401,            0.022247,            0.006182,             0.73044,             0.60173,             0.71693,             0.30899,            0.049912,            0.013609,           0.0056372,            0.007426,            0.007426,            0.007426
                  28,            0.053363,            0.022034,           0.0057369,             0.76701,             0.68635,             0.75668,              0.3473,            0.046565,            0.013513,           0.0059584,            0.007327,            0.007327,            0.007327
                  29,            0.052463,            0.021074,           0.0056669,             0.55643,             0.14862,             0.17087,             0.06295,             0.10495,            0.023857,            0.030594,            0.007228,            0.007228,            0.007228
                  30,            0.052714,            0.021725,            0.006028,             0.77002,             0.67338,             0.77015,             0.34288,            0.048058,            0.013491,           0.0045367,            0.007129,            0.007129,            0.007129
                  31,            0.052687,            0.020814,            0.005621,             0.78769,             0.65908,             0.73528,             0.32501,            0.048061,            0.013777,           0.0048076,             0.00703,             0.00703,             0.00703
                  32,            0.052823,             0.02117,           0.0053168,             0.73739,             0.67666,             0.74827,             0.33007,            0.048527,            0.013579,            0.004839,            0.006931,            0.006931,            0.006931
                  33,            0.052916,            0.022112,           0.0054055,             0.73248,             0.68225,             0.74668,             0.33794,            0.047233,            0.013434,           0.0035963,            0.006832,            0.006832,            0.006832
                  34,            0.051549,            0.020668,           0.0057553,             0.72043,             0.63195,             0.72351,             0.29734,            0.049709,            0.013724,           0.0054206,            0.006733,            0.006733,            0.006733
                  35,            0.050953,            0.020318,             0.00566,             0.72221,             0.61462,             0.68836,              0.2911,            0.050834,             0.01381,           0.0051871,            0.006634,            0.006634,            0.006634
                  36,            0.052223,            0.020771,           0.0054419,             0.80045,             0.74841,             0.80115,             0.37377,            0.045543,            0.013166,           0.0053372,            0.006535,            0.006535,            0.006535
                  37,            0.051046,            0.021451,            0.005346,             0.78311,             0.63736,             0.74245,             0.34596,            0.045858,            0.013122,           0.0054071,            0.006436,            0.006436,            0.006436
                  38,            0.050774,            0.020194,           0.0045602,             0.77719,             0.73353,             0.79013,             0.36076,             0.04679,            0.013413,           0.0044318,            0.006337,            0.006337,            0.006337
                  39,            0.050845,            0.020485,           0.0045689,             0.81043,             0.65182,             0.74653,             0.32475,            0.048971,            0.013159,            0.004659,            0.006238,            0.006238,            0.006238
                  40,             0.05041,            0.021737,           0.0042008,             0.71601,             0.52479,             0.60645,             0.24177,            0.052825,            0.015397,            0.010243,            0.006139,            0.006139,            0.006139
                  41,            0.050086,            0.020591,           0.0043501,             0.82808,             0.77157,             0.81777,              0.3885,            0.044011,             0.01301,           0.0025164,             0.00604,             0.00604,             0.00604
                  42,            0.050131,            0.020213,           0.0040323,             0.84866,             0.76811,             0.82567,             0.39605,            0.043645,            0.012896,           0.0022778,            0.005941,            0.005941,            0.005941
                  43,            0.048993,            0.021178,             0.00494,             0.86129,              0.7678,             0.81206,             0.38819,            0.044825,            0.013033,           0.0032566,            0.005842,            0.005842,            0.005842
                  44,            0.049301,            0.021063,           0.0039231,             0.80778,               0.728,             0.79399,              0.3579,            0.046222,            0.012994,           0.0039398,            0.005743,            0.005743,            0.005743
                  45,            0.048577,              0.0202,           0.0040351,             0.81281,              0.7451,             0.82727,             0.39624,            0.043936,            0.013045,           0.0030437,            0.005644,            0.005644,            0.005644
                  46,             0.05002,            0.019482,           0.0042825,             0.81143,             0.71471,             0.79369,             0.36918,            0.045413,            0.013013,           0.0032678,            0.005545,            0.005545,            0.005545
                  47,            0.048721,            0.019804,           0.0043833,             0.83301,             0.76876,             0.83051,             0.38661,            0.044014,            0.012867,           0.0025195,            0.005446,            0.005446,            0.005446
                  48,            0.047406,            0.018871,           0.0042408,             0.80677,             0.74655,             0.80616,             0.36789,            0.043341,            0.012767,           0.0025938,            0.005347,            0.005347,            0.005347
                  49,            0.048632,            0.019964,           0.0037576,             0.81572,             0.76726,             0.82608,             0.39251,            0.043862,            0.012799,            0.002492,            0.005248,            0.005248,            0.005248
                  50,            0.047989,            0.020234,           0.0035911,             0.86314,             0.81456,             0.85022,             0.42112,            0.042269,            0.012505,           0.0022438,            0.005149,            0.005149,            0.005149
                  51,            0.047402,            0.019545,           0.0043603,             0.86417,             0.77492,             0.84025,               0.419,            0.042673,            0.012877,           0.0034232,             0.00505,             0.00505,             0.00505
                  52,            0.047986,             0.02017,           0.0038346,             0.85439,             0.80399,              0.8492,             0.40856,            0.041744,            0.012606,           0.0020164,            0.004951,            0.004951,            0.004951
                  53,            0.046922,            0.019765,            0.003677,             0.83314,             0.76087,             0.81496,             0.39486,            0.043963,            0.012691,           0.0029073,            0.004852,            0.004852,            0.004852
                  54,             0.04702,            0.019839,           0.0035678,             0.82322,              0.7723,              0.8319,             0.39228,            0.043316,            0.012764,           0.0027255,            0.004753,            0.004753,            0.004753
                  55,            0.046547,            0.019681,           0.0033542,             0.86916,             0.77863,             0.85052,             0.42527,             0.04158,            0.012594,            0.002357,            0.004654,            0.004654,            0.004654
                  56,            0.047907,            0.019818,            0.003133,             0.86419,             0.81971,             0.85472,             0.40721,            0.042661,            0.012544,           0.0018821,            0.004555,            0.004555,            0.004555
                  57,            0.047038,            0.019827,           0.0032175,             0.84105,             0.79065,             0.85392,             0.42533,            0.041232,            0.012486,           0.0021131,            0.004456,            0.004456,            0.004456
                  58,            0.046397,            0.019512,           0.0034694,             0.87682,             0.78416,             0.85128,             0.42873,            0.042352,            0.012608,           0.0020235,            0.004357,            0.004357,            0.004357
                  59,             0.04721,            0.020143,           0.0030771,             0.83912,             0.78959,             0.84437,             0.43194,            0.041647,            0.012444,           0.0016747,            0.004258,            0.004258,            0.004258
                  60,            0.046368,            0.019853,           0.0030842,             0.87695,             0.81722,             0.86783,             0.44533,            0.040885,            0.012394,           0.0014793,            0.004159,            0.004159,            0.004159
                  61,            0.045659,            0.019482,           0.0031389,             0.85697,             0.79388,             0.85348,             0.40759,            0.042493,            0.012597,           0.0021674,             0.00406,             0.00406,             0.00406
                  62,             0.04606,             0.02013,           0.0026988,              0.8695,             0.80512,              0.8676,             0.43837,            0.040845,            0.012347,           0.0021203,            0.003961,            0.003961,            0.003961
                  63,            0.045335,            0.017808,            0.003362,             0.86953,             0.82252,             0.87102,             0.44962,            0.040336,            0.012378,           0.0015465,            0.003862,            0.003862,            0.003862
                  64,            0.045736,            0.019154,           0.0031096,             0.89159,             0.79422,             0.85501,             0.42996,            0.040671,            0.012422,           0.0024364,            0.003763,            0.003763,            0.003763
                  65,            0.045901,            0.019608,           0.0027253,             0.85774,             0.79333,             0.85144,             0.41611,            0.041068,            0.012336,           0.0021015,            0.003664,            0.003664,            0.003664
                  66,            0.045331,             0.01909,            0.002569,             0.87449,             0.81258,              0.8764,             0.44397,            0.039793,            0.012313,           0.0016768,            0.003565,            0.003565,            0.003565
                  67,            0.044762,            0.018544,           0.0028524,             0.87794,             0.81411,             0.87003,             0.44299,            0.040905,              0.0123,           0.0014316,            0.003466,            0.003466,            0.003466
                  68,            0.044542,            0.018934,           0.0027326,             0.89276,             0.83053,             0.87972,             0.46377,             0.04014,            0.012232,           0.0016611,            0.003367,            0.003367,            0.003367
                  69,             0.04514,            0.018813,            0.002279,             0.86979,             0.82175,             0.87784,              0.4601,            0.039459,             0.01223,            0.001277,            0.003268,            0.003268,            0.003268
                  70,            0.045024,             0.01983,           0.0023582,             0.85145,             0.76854,              0.8385,             0.41127,            0.041828,            0.012441,           0.0012486,            0.003169,            0.003169,            0.003169
                  71,            0.044811,            0.020052,           0.0023199,             0.87208,             0.79917,             0.86119,             0.45636,            0.039698,            0.012235,           0.0022022,             0.00307,             0.00307,             0.00307
                  72,            0.044084,            0.019302,           0.0022416,             0.85012,             0.83635,             0.87208,             0.45805,            0.039041,            0.012059,           0.0014336,            0.002971,            0.002971,            0.002971
                  73,            0.044346,            0.019018,            0.002397,             0.87146,             0.83744,             0.88908,             0.45614,            0.039439,            0.012159,           0.0013406,            0.002872,            0.002872,            0.002872
                  74,            0.043652,            0.018818,            0.002014,             0.86929,             0.82973,             0.87965,              0.4658,            0.039464,            0.012055,           0.0016205,            0.002773,            0.002773,            0.002773
                  75,            0.043768,            0.019331,           0.0024565,             0.87562,              0.8226,             0.87356,               0.451,            0.039957,            0.012151,            0.001593,            0.002674,            0.002674,            0.002674
                  76,             0.04454,            0.019395,           0.0023858,             0.87347,             0.82931,             0.89638,             0.46278,            0.039081,            0.012148,            0.001142,            0.002575,            0.002575,            0.002575
                  77,            0.042917,            0.018922,           0.0023394,             0.88111,              0.8194,             0.88208,             0.45847,            0.039123,            0.012129,           0.0019766,            0.002476,            0.002476,            0.002476
                  78,            0.043682,            0.018704,           0.0027568,             0.88593,              0.8221,             0.88522,             0.46922,            0.038632,            0.012051,           0.0015561,            0.002377,            0.002377,            0.002377
                  79,             0.04333,            0.018708,           0.0020716,             0.87519,             0.80955,             0.87082,             0.45109,            0.039055,            0.012051,           0.0016737,            0.002278,            0.002278,            0.002278
                  80,             0.04331,            0.018777,           0.0019205,             0.87262,              0.8202,             0.88867,             0.46008,            0.038644,            0.011975,           0.0017002,            0.002179,            0.002179,            0.002179
                  81,            0.042728,            0.018937,           0.0020126,             0.88668,             0.81685,             0.88644,             0.46539,            0.038681,            0.012023,           0.0022035,             0.00208,             0.00208,             0.00208
                  82,            0.043718,            0.018843,           0.0022558,             0.85445,             0.78317,             0.85401,             0.42956,            0.040179,            0.012072,           0.0021982,            0.001981,            0.001981,            0.001981
                  83,            0.043671,            0.019488,           0.0020135,             0.86893,             0.83628,             0.88723,             0.47525,            0.038554,            0.012012,           0.0018434,            0.001882,            0.001882,            0.001882
                  84,            0.041858,            0.019006,           0.0020673,             0.91384,             0.82632,             0.89464,             0.47333,            0.038718,            0.012024,           0.0017312,            0.001783,            0.001783,            0.001783
                  85,            0.042392,            0.018688,           0.0020145,             0.88488,             0.82552,             0.89361,             0.46707,            0.038331,            0.011892,           0.0014406,            0.001684,            0.001684,            0.001684
                  86,            0.042325,            0.019115,           0.0019939,             0.89545,             0.83715,             0.89284,             0.47632,            0.038547,            0.011929,           0.0012986,            0.001585,            0.001585,            0.001585
                  87,            0.042348,            0.019001,           0.0016872,             0.90123,             0.83544,             0.90431,             0.47678,            0.037984,            0.011897,           0.0010467,            0.001486,            0.001486,            0.001486
                  88,            0.042143,            0.018271,           0.0022095,             0.88799,             0.82937,             0.88497,             0.46641,            0.038541,            0.011965,            0.001354,            0.001387,            0.001387,            0.001387
                  89,            0.042584,            0.019177,           0.0017555,             0.89441,             0.81862,             0.88677,             0.47288,            0.038347,             0.01191,           0.0013374,            0.001288,            0.001288,            0.001288
                  90,            0.042198,            0.018903,           0.0018631,             0.89522,             0.84176,             0.89933,             0.48358,            0.037653,            0.011856,           0.0012525,            0.001189,            0.001189,            0.001189
                  91,             0.04242,            0.019248,           0.0021144,             0.89237,             0.82501,             0.88678,               0.473,            0.037636,             0.01188,           0.0010705,             0.00109,             0.00109,             0.00109
                  92,            0.041742,            0.018557,           0.0018364,             0.87299,             0.83916,             0.89088,             0.46757,            0.038275,            0.011849,           0.0011173,            0.000991,            0.000991,            0.000991
                  93,            0.041992,            0.018992,           0.0019771,             0.88335,             0.84643,             0.89711,             0.48392,            0.037469,            0.011763,           0.0011184,            0.000892,            0.000892,            0.000892
                  94,            0.041153,            0.017197,           0.0017708,             0.88648,             0.82494,             0.89237,             0.48397,            0.037243,            0.011838,           0.0013515,            0.000793,            0.000793,            0.000793
                  95,            0.041196,            0.018167,           0.0018127,             0.89445,              0.8536,             0.90391,             0.48229,             0.03731,            0.011777,            0.001102,            0.000694,            0.000694,            0.000694
                  96,            0.041149,             0.01858,           0.0016527,             0.88311,             0.84609,             0.90338,             0.47906,            0.037231,             0.01181,           0.0011574,            0.000595,            0.000595,            0.000595
                  97,            0.040877,            0.019273,           0.0015189,             0.89275,             0.85852,             0.90752,             0.48734,            0.037131,            0.011716,          0.00096194,            0.000496,            0.000496,            0.000496
                  98,            0.041359,            0.019053,           0.0015008,             0.88854,             0.85323,               0.905,             0.49063,            0.036873,            0.011707,          0.00096639,            0.000397,            0.000397,            0.000397
                  99,            0.041497,            0.019039,           0.0014999,             0.88909,             0.86034,             0.90884,             0.49355,            0.036856,             0.01174,           0.0010159,            0.000298,            0.000298,            0.000298
